Location,Property Type,Price per Sq Ft ($),Rental Yield (%),Appreciation Rate (%)
Miami,Industrial,1917.84,7.04,-1.71
Los Angeles,Residential,1917.84,7.04,-1.71
San Francisco,Commercial,1917.84,7.04,-1.71
New York,Commercial,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
Austin,Commercial,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
San Francisco,Commercial,1917.84,7.04,-1.71
Los Angeles,Industrial,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
Los Angeles,Retail,1917.84,7.04,-1.71
Austin,Residential,1917.84,7.04,-1.71
New York,Retail,1917.84,7.04,-1.71
Austin,Residential,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
San Francisco,Commercial,1917.84,7.04,-1.71
Los Angeles,Industrial,1917.84,7.04,-1.71
Austin,Commercial,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
Austin,Commercial,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
New York,Residential,1917.84,7.04,-1.71
New York,Residential,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
Los Angeles,Retail,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
New York,Industrial,1917.84,7.04,-1.71
Los Angeles,Industrial,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
Los Angeles,Residential,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
New York,Residential,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
Austin,Retail,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
Austin,Commercial,1917.84,7.04,-1.71
New York,Industrial,1917.84,7.04,-1.71
Los Angeles,Industrial,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
Los Angeles,Industrial,1917.84,7.04,-1.71
Los Angeles,Retail,1917.84,7.04,-1.71
Los Angeles,Retail,1917.84,7.04,-1.71
Austin,Retail,1917.84,7.04,-1.71
San Francisco,Commercial,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
Los Angeles,Retail,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
Los Angeles,Retail,1917.84,7.04,-1.71
New York,Commercial,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
New York,Retail,1917.84,7.04,-1.71
Austin,Retail,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
New York,Industrial,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
Austin,Residential,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
Austin,Commercial,1917.84,7.04,-1.71
Los Angeles,Residential,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
Austin,Retail,1917.84,7.04,-1.71
New York,Retail,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
Austin,Industrial,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
Austin,Retail,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
Los Angeles,Commercial,1917.84,7.04,-1.71
Miami,Industrial,1917.84,7.04,-1.71
Austin,Industrial,1917.84,7.04,-1.71
Miami,Residential,1917.84,7.04,-1.71
Los Angeles,Residential,1917.84,7.04,-1.71
San Francisco,Residential,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
New York,Retail,1917.84,7.04,-1.71
New York,Commercial,1917.84,7.04,-1.71
Los Angeles,Industrial,1917.84,7.04,-1.71
San Francisco,Industrial,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
San Francisco,Retail,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
New York,Commercial,1917.84,7.04,-1.71
Austin,Retail,1917.84,7.04,-1.71
New York,Industrial,1917.84,7.04,-1.71
San Francisco,Commercial,1917.84,7.04,-1.71
Miami,Retail,1917.84,7.04,-1.71
Austin,Industrial,1917.84,7.04,-1.71
Miami,Commercial,1917.84,7.04,-1.71
Los Angeles,Residential,1917.84,7.04,-1.71
New York,Commercial,1917.84,7.04,-1.71
