Symbol,CompanyName,MarketCap,Sector,Industry
INC268,Kelly-Wright,20529739563,Healthcare,Banking
GROU607,Walls-Nguyen,44410911774,Real Estate,Biotech
LTD339,Scott PLC,20201351470,Technology,Electric
GROU555,Carpenter LLC,42616759099,Real Estate,Electric
LLC807,"Santos, Farrell and Reynolds",31176911390,Healthcare,Biotech
GROU337,"Davidson, Matthews and Williams",25546983732,Technology,Electric
AND 824,"Williams, Garcia and Yoder",19134294121,Finance,Electric
PLC110,"Friedman, Peters and Holloway",16837338308,Real Estate,Retail
LTD831,"Hernandez, Brooks and Jones",17008506812,Energy,Mining
GROU392,Rodgers Inc,44388267915,Energy,Mining
AND 370,"Vasquez, Perez and Johnson",39118558347,Healthcare,Biotech
INC162,Zavala-Snyder,29260440870,Utilities,Retail
PLC152,"Marks, Ferguson and Taylor",20996580808,Materials,Retail
AND 419,"Diaz, Gilmore and Alvarez",25173443090,Materials,Electric
LLC762,Gomez-Stephens,14836800618,Technology,Biotech
INC152,West-Hayes,45539673593,Utilities,Mining
LLC533,"Pugh, Smith and Young",32501913036,Materials,Mining
AND 748,Foster PLC,34146868561,Healthcare,Banking
INC469,Henderson Inc,26713556300,Real Estate,Electric
AND 863,"Matthews, English and Montgomery",25653069384,Materials,Construction
LTD891,Ford-Davis,16799606522,Energy,Retail
GROU978,Burgess-Green,2745245846,Finance,Construction
GROU528,"Mcgee, Jordan and Hansen",13923741919,Energy,Biotech
INC442,Bailey-Sparks,23659651572,Technology,Construction
LTD122,"Moss, Allen and Orr",452049975,Technology,Mining
LTD863,Smith PLC,13967781284,Finance,Biotech
LTD958,Rasmussen-Stein,3186666536,Utilities,Construction
PLC178,"Lewis, Gonzales and Evans",5086754604,Finance,Banking
AND 402,"Berry, Thornton and Brown",11097858490,Materials,Banking
PLC125,Long PLC,42135771094,Healthcare,Banking
LTD713,"Gray, Pierce and Daniel",8791091492,Consumer,Biotech
GROU469,"Hendricks, Murray and Stevens",43594230247,Technology,Mining
GROU104,Bell-Rios,20893590013,Materials,Biotech
AND 825,Odonnell Ltd,29606065558,Materials,Oil & Gas
AND 469,Reyes-Dominguez,4026612757,Technology,Retail
LTD845,Long Group,4443376281,Healthcare,Banking
LLC906,"Carlson, Anderson and Cobb",32638491377,Materials,Software
GROU280,Russo-Dixon,20974703726,Utilities,Software
INC107,"Rodriguez, Williams and Marshall",33773761704,Materials,Construction
PLC615,Mcdonald-Roberts,19329909626,Consumer,Oil & Gas
AND 982,"Arroyo, Crawford and Cole",42742529813,Utilities,Biotech
INC648,Park-Winters,24546731511,Consumer,Banking
AND 388,James and Sons,40948340289,Finance,Mining
PLC762,Hayes-Marsh,48892250587,Finance,Construction
AND 742,Douglas-Miller,1901529192,Healthcare,Oil & Gas
LTD730,Coleman-Perez,12141936738,Materials,Banking
PLC747,Solomon Group,17350989867,Materials,Retail
GROU944,"Diaz, Wright and Howard",13398002981,Real Estate,Oil & Gas
LTD951,Morales-Beasley,41577291861,Materials,Construction
INC751,Rose PLC,42141931002,Utilities,Construction
LLC728,Escobar PLC,41000343260,Real Estate,Construction
LLC672,"Sullivan, Walker and Anderson",24940313578,Real Estate,Oil & Gas
LTD987,"Richardson, Nelson and Hill",32208361770,Materials,Banking
LTD878,"Sanders, Chen and Brewer",31686859488,Materials,Biotech
PLC756,Burton-Martin,18559479991,Real Estate,Construction
AND 745,"Robinson, Hill and Carter",17008519230,Technology,Retail
AND 790,Delacruz Group,39830560007,Real Estate,Construction
LTD151,Contreras-Mcfarland,13037285771,Energy,Retail
LLC725,Lambert-Horne,41509534392,Consumer,Banking
INC173,"Horne, Lewis and Thomas",37437397191,Technology,Construction
GROU864,"Carter, Vasquez and Thomas",23067509749,Materials,Electric
AND 645,Medina Group,41148962372,Materials,Mining
AND 211,Bradley-Buchanan,6988149480,Technology,Electric
LLC889,"Robertson, Smith and Smith",9704964629,Energy,Biotech
LTD591,Edwards PLC,22596339290,Energy,Banking
LTD741,Reed-Hardin,32619258747,Energy,Construction
GROU377,"Hahn, Garner and Hill",48316086407,Utilities,Construction
PLC329,Sparks-Bradford,21474611837,Materials,Electric
GROU460,Castillo-Jones,40631507460,Utilities,Banking
AND 879,Wilkerson Inc,27348843370,Finance,Construction
GROU458,Jones PLC,44648049857,Technology,Banking
AND 451,"Marshall, Green and Vaughan",11013774289,Energy,Retail
LTD187,Potter LLC,1970320234,Consumer,Oil & Gas
LLC141,Jimenez PLC,28264650081,Consumer,Oil & Gas
PLC962,Johnson-Mason,21807472872,Energy,Banking
PLC638,Gonzalez and Sons,15361375389,Healthcare,Mining
AND 769,Burton-Smith,17361113233,Finance,Electric
PLC907,"Lynn, Leon and Edwards",34601732630,Utilities,Construction
INC780,Powell-Thornton,32554579803,Energy,Biotech
LTD739,Shelton Ltd,46257883708,Finance,Oil & Gas
LLC631,"Cooke, Jones and Santana",40794785198,Technology,Mining
GROU837,"Ross, Cooper and Orr",29578534188,Consumer,Electric
INC516,Massey-Rivera,18772717175,Materials,Electric
INC539,Jones LLC,35182511287,Energy,Mining
INC974,"Weaver, Schwartz and Carter",15139972196,Technology,Electric
AND 949,Rogers-Harris,48414930770,Finance,Oil & Gas
PLC409,Jackson and Sons,37241525241,Energy,Software
PLC364,Ryan-Richardson,49804126101,Finance,Mining
INC555,Taylor-Donovan,13518661705,Utilities,Banking
AND 324,Stevens-Alvarado,24630547819,Technology,Electric
GROU727,Evans Inc,31998794529,Finance,Mining
LTD231,Hunter Ltd,21569831912,Consumer,Mining
LTD675,Armstrong-Warren,41457197650,Real Estate,Retail
INC878,Sosa-Goodman,48968279627,Consumer,Mining
GROU920,"Meyer, Jackson and Green",11440293129,Healthcare,Banking
AND 361,Cherry-Crawford,26767750789,Utilities,Banking
PLC226,"Russell, Cook and Gonzalez",857770158,Materials,Retail
LTD800,Kemp PLC,48590703044,Energy,Oil & Gas
LTD552,Whitehead-Tran,9275620618,Consumer,Oil & Gas
LLC223,Cobb Group,3144076636,Healthcare,Retail
